fid,Length,RoadCode,Un ID,y,x,Habitation,Block,Population serve by New Alignment .,Total Cost (exact),Total cost,Ranking,,"If change in habitations in village provide GPS coordinates  (X,Y).",Name & Population served by Habitation in villages.,field_9,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",If YES then consider in PH1/PH2 of ITNDP(road no):,Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),Name of road Proposed from--------------to---------------,,Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length (KM) of New Roads Construction Proposed.,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate. (175.25/km), b,Original length without approx,Width of road length(metre) proposed.,field_20,"Split length(KM) category if passing through both PMGSY, MDR/ODR/RR/Track.",Requirement of Hairpen Bend   ----  Yes/No.,Length of New construction of Bridge/CD/Culvert (eter).,Type Bridge/CD/Culvert/etc.,Cost for Bridge/CD/Culvert/etc.,Culvert cost,New culvert cost,Bridge cost,New cost for Bridge/culvert,Road Leading to number of Points as follows:,"a) Agriculture areas     eg- 5,10.","b) Economic potential areas     eg- 5,10","c) Industrial areas     eg- 1,2",d)EIA required or Ecological Consideration  eg-Yes/No,"e) Tourist Point  e.g. - 5,10",If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number,Difference
1573,1.069262094,NG_BJ_NL04,936,25.214556,90.141584,Chiram Aga,bajengdoba,356,264.3750528,264,0.742626553,1,,479,,FALSE,No,FALSE,Chiram Christain to Chiram Aga,,Existing =E,PWD,1,187.388182,1,175.25,3.75,,RR,FALSE,1.5,slab,72,72,76.98687078,0,76.98687078,,3,4,Nil,FALSE,Nil,Does not arise,AEE,0.069262094
1581,2.850170793,NG_BJ_NL12,1123,25.214556,90.141584,Ronggol Chiring,bajengdoba,507,719.3627499,719,1.41886144,2,,,,FALSE,No,FALSE,Dalmanggre to Ronggol chiriing,,Existing =E,PWD,3.5,499.4924315,3.5,613.375,3.75,,RR,FALSE,1.5,slab,270,270,219.8703183,0,219.8703183,,5,6,Nil,FALSE,Nil,Does not arise,AEE,-0.649829207
1589,2.907052921,NG_BJ_NL20,1637,25.214556,90.141584,Dujong Songgital,bajengdoba,506,813.7688347,814,1.608238804,3,"Dujong Songma 25.9428168 , 90.4759144 ",613,,FALSE,No,FALSE,Dujong akonggre to Dujong Songgital,,Existing =E,PWD,4,509.4610244,4,701,3.75,,RR,FALSE,11.5,"open , slab",383,288,209.3078103,95,304.3078103,,4,6,Nil,FALSE,Nil,Does not arise,AEE,-1.092947079
1585,1.554608926,NG_BJ_NL16,1453,25.214556,90.141584,Rongsep,bajengdoba,226,370.3855765,370,1.638874232,4,,226,,FALSE,No,FALSE,NH-51 To Rongsep,,Existing =E,PWD,2,272.4452142,2,350.5,3.75,,RR,FALSE,1.5,slab,126,126,97.94036231,0,97.94036231,,3,5,Nil,FALSE,Nil,Does not arise,AEE,-0.445391074
1582,2.209578111,NG_BJ_NL13,4225,25.214556,90.141584,Nokwal Ading ,bajengdoba,213,546.3181878,546,2.564874121,5,,493,,FALSE,No,FALSE,Bolongpang To Nokwal Ading,,Existing =E,PWD,4,387.2285639,4,701,3.75,,RR,FALSE,1.5,slab,288,288,159.089624,0,159.089624,,4,6,Nil,FALSE,Nil,Does not arise,AEE,-1.790421889
1596,2.273199443,NG_BJ_NL18,2073,25.214556,90.141584,Jamgonda Nokatgre,bajengdoba,193,507.4917757,507,2.629491066,6,,Jamgonda Nokatgre & jamgonda Chidekgre =228,,FALSE,No,FALSE,Jamgonda Nokatgre To jamgonda Chidekgre,,Existing =E,PWD,1.5,398.3782024,1.5,262.875,3.75,,RR,FALSE,1.5,slab,72,72,109.1135733,0,109.1135733,,5,6,Nil,FALSE,Nil,Does not arise,AEE,0.773199443
1574,2.992404444,NG_BJ_NL05,887,25.214556,90.141584,Chijagamgre ,bajengdoba,244,712.9403588,713,2.921886717,7,,312,,FALSE,No,FALSE,Korepara to Chijagamgre,,Existing =E,PWD,2,524.4188788,2,350.5,3.75,,RR,FALSE,1.5,slab,126,126,188.52148,0,188.52148,,3,4,Nil,FALSE,Nil,Does not arise,AEE,0.992404444
1571,2.899493561,NG_BJ_NL02,2491,25.214556,90.141584,Kitmadamgre,bajengdoba,253,758.6524903,759,2.998626444,8,"Rari bajr 25.88118610 , 90.4556694",Rari & Kitmadamgre,,FALSE,No,FALSE,Rari bajar to kitmadamgre,,Existing =E,PWD,2.5,508.1362466,2.5,438.125,3.75,,RR,FALSE,1.5,slab,216,216,250.5162437,0,250.5162437,,5,6,Nil,FALSE,Nil,Does not arise,AEE,0.399493561
1592,3.514123296,NG_BJ_NL23,3224,25.214556,90.141584,Matcha Melaram,bajengdoba,298,953.205944,953,3.198677664,9,,1174,,FALSE,No,FALSE,Rabha Sualmari to Matchuki Via Takulbela,,Existing =E,PWD,3,615.8501076,3,525.75,3.75,,RR,FALSE,1.5,slab,288,288,337.3558364,0,337.3558364,,4,6,Nil,FALSE,Nil,Does not arise,AEE,0.514123296
1570,3.841700147,NG_BJ_NL01,3212,25.214556,90.141584,Matcha Melaram,bajengdoba,284,1000.904198,1001,3.524310555,10,,Rongbang Ading & Melaram  =557, ,FALSE,No,FALSE,Rongbang Ading TO Matcha Melaram ,,Existing =E,PWD,4.01,673.2579507,4.01,702.7525,3.75, ,RR,FALSE,1.5,slab,342,342,327.6462469,0,327.6462469,,4,6,Nil,FALSE,Nil,Does not arise,AEE,-0.168299853
1583,3.424610119,NG_BJ_NL14,4948,25.214556,90.141584,Rongjaleng Nokat,bajengdoba,197,846.734852,847,4.298146457,11,"Rongjalengri (25.935520, 90.5071652)",636,,FALSE,No,FALSE,Raksam Gengnang to Rongjaleng Nokat via Rongjaleng,,Existing =E,PWD,4,600.1629234,4,701,3.75,,RR,FALSE,1.5,slab,288,288,246.5719286,0,246.5719286,,4,6,Nil,FALSE,Nil,Does not arise,AEE,-0.575389881
1595,4.483939817,NG_BJ_NL06,2486,25.214556,90.141584,Aruak Songgital ,bajengdoba,223,1110.89609,1111,4.981596815,12,,367,,FALSE,,FALSE,Kimdegre to Aruak Songgital,,Existing =E,PWD,4,785.810453,4,701,3.75,,RR,FALSE,1.5,slab,290,290,325.0856367,0,325.0856367,,4,5,Nil,FALSE,Nil,Does not arise,AEE,0.483939817
1580,3.595148632,NG_BJ_NL11,1692,25.214556,90.141584,Amtuli,bajengdoba,214,1146.018916,1146,5.355228579,13,,1022,,FALSE, ,FALSE,Fakirmara TO Dujong  Akong,,Existing =E,PWD,3.17,630.0497978,3.17,555.5425,3.75,,RR,FALSE,+3 nos & 12  (+10 apan & slab/1.50 ),open ,487,216,244.9691181,271,515.9691181,,6,7,Nil,FALSE,Nil,Does not arise,AEE,0.425148632
1584,2.126663816,NG_BJ_NL15,1452,25.214556,90.141584,Rongopgre Dejake,bajengdoba,92,506.6776542,507,5.507365807,14,,35,,FALSE,No,FALSE,Rari to Warigre,,Existing =E,PWD,2,372.6978338,2,350.5,3.75,,RR,FALSE,1.5,slab,126,126,133.9798204,0,133.9798204,,3,5,Nil,FALSE,Nil,Does not arise,AEE,0.126663816
1590,4.285525803,NG_BJ_NL21,1889,25.214556,90.141584,Dajong Warigri,bajengdoba,199,1249.596255,1250,6.279378165,15,"Gosingbeta Bajar , 25.9486390, 90.4743051 & Gosingbeta Bakra  25.9709366, 90.5806933",1229,,FALSE,No,FALSE,Gosingbeta Bajar to Dajongpara,,Existing =E,PWD,3,751.038397,3,525.75,3.75,,RR,FALSE,31.5,"open , slab",406,216,308.5578578,190,498.5578578,,5,7,Nil,FALSE,Nil,Does not arise,AEE,1.285525803
1591,2.622179151,NG_BJ_NL22,477,25.214556,90.141584,Bekbekgre Jamanggre,bajengdoba,76,624.7341828,625,8.220186616,16,,76,,FALSE,,FALSE,Bekbekgre To Jamanggre,,Existing =E,PWD,2,459.5368963,2,350.5,3.75,,RR,FALSE,8.5,slab,126,126,165.1972865,0,165.1972865,,3,4,Nil,FALSE,Nil,Does not arise,AEE,0.622179151
1594,5.327360553,NG_BJ_NL03,179,25.214556,90.141584,Chiraragre,bajengdoba,193,1892.544836,1893,9.805931795,17,,817,,FALSE,No,FALSE,Ane Aga To Chiraragre,,Existing =E,PWD,6,933.6199369,6,1051.5,3.75,,RR,FALSE,1.5,slab,1080,1080,958.9248995,0,958.9248995,,5,7,Nil,FALSE,Nil,Does not arise,AEE,-0.672639447
1578,9.070481156,NG_BJ_NL09,22,25.214556,90.141584,Balkol Gabekgre,bajengdoba,197,2237.601823,2238,11.35838489,18,"Achotchonggre (25.8816601, 90.4279887) , Achotchong Songgital  (25.8761814, 90.4250067) , Balkol (25.9199498, 90.4118032) ",2046,,FALSE,,,Diarak Bajar(Achotchonggre) To Balkol,,Existing =E,PWD,10,1589.601823,10,1752.5,5.5,,RR,FALSE,11.5,"open , slab",648,0,0,648,648,,6,8,Nil,FALSE,Nil,Does not arise,AEE & JE,-0.929518844
