Un id,Block,Population serve by New Alignment .,Rode Code,"If change in habitations in village provide GPS coordinates  (X,Y).",x,y,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)  ",Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),Name of road proposed from Nongsba to 32nd Km of Nongstoin-Maweit road via Nongpohlong-Umiang-Nongmawlieh-Umtynru and Nongrimrisynnam ,Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML) ,Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length (KM) of New Roads Construction Proposed.,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate.,Length portion (KM).,Width of road length(metre) proposed.,Type Bridge/CD/Culvert/etc.,"            a) Agriculture areas     eg- 5,10.","             b) Economic potential areas     eg- 5,10","             e) Tourist Point  e.g. - 5,10",,If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number ,Email:shimborpuwein@gmail.com,Signature
3323,mawryngkneng,223,EK_MK_NL01,,92.948834,25.565557,No,Yes,mawryngkneng to Mawingsung,BT & CC,PWD,3,450,3,3,HPC,1,1,,,,AE,piucoofkhansihns@gmail.com,76298920029/8974157289
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Financing plan of roads in Laskein Phase 3,,,,,,,,,,,,,,
,,,,,Total No of Road,,1,,,,Year,,RoadName,,RoadCode,km to be done,Ranking,Amount required per year(lakh),Total coat per Road,,,,,
,,Total Length of New Construction(km),,,,,3,,,,2024,,mawryngkneng to Mawingsung,,EK_MK_NL01,,1,450,,,,,,
,,Total Cost of Bridge and Culvert(lakhs),,,,,2,,,,,,,,,,,,,,,,,
,,Total Cost of Road( lakhs,,,,,450,,,,,,,,,,,,,,,,,
,,Total Cost for Laskein (lakh),,,,,450,,,,,,,,,,,,,,,,,
,,Yearly budget (20 years),,,,,450,,,,,,,,,,,,,,,,,
