fid,Road Code,Name,Length,UID,x,y,Block,Population serve by New Alignment .,Total cost,Ranking,Absolute ranking,Name & Population served by Habitation in villages.,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",If YES then consider in PH1/PH2 of ITNDP(road no):,Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length (KM) of New Roads Construction Proposed.,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate.,Length portion (KM).,Width of road length(metre) proposed.,field_16,"Split length(KM) category if passing through both PMGSY, MDR/ODR/RR/Track.",Length of New construction of Bridge/CD/Culvert (Meter).,Type Bridge/CD/Culvert/etc.,Cost for Bridge/CD/Culvert/etc.,If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number,Email:shimborpuwein@gmail.com,Signature
38,SWGH-_ZI_NL20-A,Gokrakandi to Barmanpara,0.583723725,5161,25.251452,89.215445,Zikzak,222,12.8,0.057657658,1,Majrerchar II Barmanpara ,,,yes,"E,BT",,0.6,0.8,0.6,3,,,3,Slab Culvert,12,,,,
13,SWGH-_ZI_NL21,ST Road to Bosyaraypara,0.339110769,3869,25.251452,89.215445,Zikzak,473,62,0.131078224,2,Julapara, MNREGA,,New Proposed,"E,BT",PWD,0.3,50,3,3,,,3,Slab Culvert,12,,JE,,
35,SWGH-_ZI_NL20,Mondolpara to Julapara,0.300442525,3869,25.251452,89.215445,Zikzak,473,62,0.131078224,3,Julapara, MNREGA,,New Proposed,"E,BT",PWD,0.3,50,3,3,,,3,Slab Culvert,12,,JE,,
9,SWGH-_ZI_NL14,ST Road to Patelipara,0.30182795,1810,25.251452,89.215445,Zikzak,412,73,0.177184466,4,Patelipara,,,No,"E,BT",,0.35,65,0.35,3,,,2,Slab Culvert,8,,JE,,
40,SWGH-_ZI_NL23,TB Road to Dolipara,0.200437802,4908,25.251452,89.215445,Zikzak,175,35,0.2,5,Dolipara,Yes MNREGA,No,No,"E,BT",,0.2,35,0.2,3,,,NIL,NIL,0,,,,
5,SWGH-_ZI_NL08,GD Road to Aragittim,0.577376216,4058,25.251452,89.215445,Zikzak,319,96,0.300940439,6,Aragittim,,,Yes,"E,BT",,0.6,78,0.6,3,,,4.5,Slab Culvert,18,,JE,,
24,SWGH-_ZI_NL19,AB Road to Kuligaon,0.699940966,5880,25.251452,89.215445,Zikzak,318,103,0.323899371,7,Kuligaor, MNREGA,New Construction,No,"E,BT",,0.7,85,0.7,3,,,4.5,Slab Culvert,18,,JE,,
26,SWGH-_ZI_NL16,Katabaripara to Kalaigaon Bilpara,0.599908563,2233,25.251452,89.215445,Zikzak,258,114,0.441860465,8,Kalaigaonbilpara,No,,No,"E,BT",,0.6,87,0.6,3,,,4.5,Slab Culvert,27,,,,
25,SWGH-_ZI_NL02,Kambakpara Road to Kambakpara Ameshgittim,0.551801829,4608,25.251452,89.215445,Zikzak,214,98,0.457943925,9,,,,Yes,"E,BT",,0.6,80,0.6,3,,,4.5,Slab Culvert,18,,JE,,
6,SWGH-_ZI_NL18,GD Road to Jengrimpara,0.800132457,6235,25.251452,89.215445,Zikzak,335,168,0.501492537,10,Jengrimpara,Yes MNREGA,,Yes,"E,BT",,0.8,144,0.8,3,,,6,Slab Culvert,24,,JE,,
