fid,UNID,Length,Road Code,Name of road Proposed from,Habbitation:,x,y,Block :,Population serve by New Alignment .,Total cost,Ranking,Absolute ranking,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),field_14,Name of road Proposed from,Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length KM of new Roads construction Proposed,Diffrence,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate.170L/Km,Lengthy portion KM,Width of road length(metre) proposed.,"Split length(KM) category if passing through both PMGSY, MDR/ODR/RR/Track.",Requirement of Hairpen Bend   ----  Yes/No.,Type Bridge/CD/Culvert/etc. SOHP/DOHP @600000/each,Cost for Minor Bridge. @5000000/each,"Cost for LSB Bridge @25,00,000.00/Rm (1 nos LSB)",Total Cost in Lakhs,Road Leading to number of Points as follows:,"a) Agriculture areas     eg- 5,10.","b) Economic potential areas     eg- 5,10","c) Industrial areas     eg- 1,2",d) EIA required or Ecological Consideration  eg-Yes/No,"e) Tourist Point  e.g. - 5,10",field_35,If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number,field_38,Email: pwd.baghmaradivision2000@gmail.com,Signature
47,3818,0.553822444,SG_CP_NL46,Sandong to Mikadogre,Mikadogre,90.200545,20.2245,Chokpot,224,187.2,0.835714286,1,No,Yes,,Sandong to Mikadogre,Kutcha,PWD (R),0.48,-0.073822444,81.6,0.48,3.75,,FALSE,4,,0,105.6,,5,5,NA,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
34,1684,1.832009849,SG_CP_NL33,Papa Songmong to Eman Durabanda,Eman Durabanda,90.200545,20.2245,Chokpot,451,748,1.658536585,2,No,No,,Papa Songmong to Eman Durabanda,Kutcha,PWD (R),1.8,-0.032009849,306,15.30 to 17,3.75,,FALSE,6,2,0,442,,7,7,1,FALSE,10,,,AEE-9862628337   JE-82191410244,,,
28,3769,0.650403253,SG_CP_NL27,Mitap BODALAGRE TO Megapgre Road,Megapgre,90.200545,20.2245,Chokpot,99,228,2.303030303,3,No,No,,Mitap BODALAGRE TO Megapgre Road,E,PWD (R),0.6,-0.050403253,102,0.6,3.75,,FALSE,4,0,0,126,,8,7,1,FALSE,3,,,AEE-9862628337   JE-7005542526,,,
32,5278,0.785305542,SG_CP_NL31,Nachi Adugre to Chigranggre,Rongdigre,90.200545,20.2245,Chokpot,91,268.46,2.95010989,4,No,Yes,,Nachi Adugre to Chigranggre,kutcha,PWD (R),0.719,-0.066305542,122.23,0.719,3.75,,FALSE,4,,,146.23,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
46,725,1.189976697,SG_CP_NL45,Rotongre to Bugigre,Bugigre,90.200545,20.2245,Chokpot,145,449.2,3.097931034,5,No,Yes,,Rotongre to Bugigre,Kutcha,PWD (R),1.18,-0.009976697,200.6,1.18,3.75,,FALSE,8,,0,248.6,,5,5,NA,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
26,2357,2.685376297,SG_CP_NL25,Kene chaneagre to Papa Songgital,Kene chaneagre,90.200545,20.2245,Chokpot,300,942.4,3.141333333,6,No,Yes,,Kene chaneagre to Papa Songgital,Kutcha,PWD (R),2.56,-0.125376297,435.2,2.56,3.75,,FALSE,12,,,507.2,,9,8,1,FALSE,5,,,AEE-9862628337   JE-82191410244,,,
29,6047,1.900724899,SG_CP_NL28,Mitap Bodolagre,Tebilgre,90.200545,20.2245,Chokpot,259,814,3.142857143,7,No,No,,Mitap Bodolagre,E,PWD (R),2,0.099275101,340,2,3.75,,FALSE,14,1,0,474,,8,8,1,FALSE,5,,,AEE-9862628337   JE-7005542526,,,
35,5203,1.780893124,SG_CP_NL34,Papa Songmang to rompagre,Rompagre,90.200545,20.2245,Chokpot,188,634.4,3.374468085,8,No,Yes,,Papa Songmang to rompagre,Kutcha,PWD (R),1.76,-0.020893124,299.2,1.76,3.75,,FALSE,6,,,335.2,,5,5,1,FALSE,9,,,AEE-9862628337   JE-82191410244,,,
15,1082,3.323048649,SG_CP_NL14,Dap Asakgre to Dajigre,Dajigre,90.200545,20.2245,Chokpot,251,1247.8,4.971314741,9,No,Yes,,Dap Asakgre to Dajigre,kutcha,PWD (R),3.37,0.046951351,572.9,3.37,3.75,,FALSE,17,,0,674.9,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
31,38651,0.727624969,SG_CP_NL30,Mon Rongsnagre to Rampragre,Mon Rongsnagre,90.200545,20.2245,Chokpot,59,300,5.084745763,10,No,No,,Mon Rongsnagre to Rampragre,E,PWD (R),0.75,0.022375031,135,0.75,3.75,,FALSE,5,0,0,165,,8,7,1,FALSE,4,,,AEE-9862628337   JE-7005542526,,,
